variant,target_lag,tokens,chars,peak_lag,peak_value,observed,null_mean,null_sd,null_q025,null_q975,p_value_ge,z_score,rank
alpha_split,5,25635,83509,4,0.006044228979997748,0.003662210999310425,1.551942365736368e-05,0.0009475290331424586,-0.0017746543005554422,0.00192576723613741,0.0033222591362126247,3.848633074132717,2
alpha_split,6,25635,83509,4,0.006044228979997748,-0.0007197921799441398,-6.644149334466322e-06,0.0008770595281434129,-0.0017137684442699863,0.0017232338191217472,0.7840531561461794,-0.8131124601305998,41
alpha_split,12,25635,83509,4,0.006044228979997748,-0.00013879838235671127,-5.7038957866416364e-05,0.0008393436769661471,-0.002043058415651333,0.0012384966102777506,0.5714285714285714,-0.0974087572635547,27
alpha_split,13,25635,83509,4,0.006044228979997748,-0.0017067083718972503,-5.50124822737925e-05,0.0008879725064703625,-0.001850427831512097,0.0016946521723204544,0.9634551495016611,-1.8600754838557447,54
alpha_keep_dots,5,25635,83509,4,0.006044228979997748,0.003662210999310425,6.082663448957984e-05,0.0009072549035799306,-0.0017986052490129717,0.0018898408134510741,0.0033222591362126247,3.9695397077603753,2
alpha_keep_dots,6,25635,83509,4,0.006044228979997748,-0.0007197921799441398,3.782531084460916e-05,0.0009938843804174625,-0.0019053783265496615,0.0020825023483961452,0.770764119601329,-0.7622793010093648,41
alpha_keep_dots,12,25635,83509,4,0.006044228979997748,-0.00013879838235671127,4.535993071640751e-05,0.0009663786706685455,-0.0017556229389276007,0.0020169676930711644,0.6046511627906976,-0.1905653742809919,27
alpha_keep_dots,13,25635,83509,4,0.006044228979997748,-0.0017067083718972503,-6.060157236992515e-05,0.0010248855716160795,-0.0019342641829540597,0.0018862781184735417,0.9368770764119602,-1.6061371582504376,54
alpha_collapse_runs,5,25635,80049,4,0.014505833607575111,0.005724454358728648,4.5577740868462066e-05,0.0010068669338600827,-0.001958819840461812,0.001964022596198031,0.0033222591362126247,5.640146107578243,2
alpha_collapse_runs,6,25635,80049,4,0.014505833607575111,-0.003619342125335087,-3.1191785023617727e-06,0.0010196964968435668,-0.001695376256989345,0.0020401159159676996,1.0,-3.5463718449819246,56
alpha_collapse_runs,12,25635,80049,4,0.014505833607575111,0.0014971780513033245,-1.041635295138112e-05,0.0009227678663375735,-0.0016888484114576663,0.0018095335868681256,0.053156146179401995,1.6337742776396016,9
alpha_collapse_runs,13,25635,80049,4,0.014505833607575111,-0.0021375579331314454,5.387258979988906e-05,0.0010029931770798746,-0.001825198494878666,0.001935609141684877,0.9933554817275747,-2.1848907579924814,51
alpha_min_len_2,5,18237,76111,4,0.01138574017250836,-0.0011085701450318092,-4.159338454863687e-05,0.00103821324391954,-0.0018443859808397745,0.0020712054311382566,0.8571428571428571,-1.0277048253160808,40
alpha_min_len_2,6,18237,76111,4,0.01138574017250836,-0.0012255726460111138,2.2615164689002662e-05,0.0009812065376262021,-0.0021059353028668043,0.0019279652292927413,0.8837209302325582,-1.2720948779242875,43
alpha_min_len_2,12,18237,76111,4,0.01138574017250836,-0.0022167493242484793,-3.8446499419433805e-05,0.0010105298421113113,-0.0019670745584828425,0.001935736253748585,0.9900332225913622,-2.1556046482287874,53
alpha_min_len_2,13,18237,76111,4,0.01138574017250836,0.0012405612027534263,-4.541214740033934e-05,0.0009969764363451086,-0.0019526896054149895,0.0021078638913917536,0.10299003322259136,1.2898733643777107,9
